Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
32195,00000418,false,Rx,0,8,ED,02,67,FE,68,FF,30,00,
32201,00000418,false,Rx,0,8,FE,02,52,FE,72,FF,34,00,
32207,00000418,false,Rx,0,8,01,03,4A,FE,8B,FF,35,00,
32214,00000610,false,Rx,0,2,02,0F,00,00,00,00,00,00,
32220,00000418,false,Rx,0,8,F3,02,52,FE,9B,FF,2E,00,
32225,00000418,false,Rx,0,8,E7,02,5A,FE,AC,FF,21,00,
32234,00000418,false,Rx,0,8,CD,02,68,FE,8D,FF,16,00,
32240,00000418,false,Rx,0,8,D8,02,68,FE,75,FF,19,00,
32245,00000418,false,Rx,0,8,E4,02,67,FE,69,FF,27,00,
32249,00000418,false,Rx,0,8,02,03,50,FE,75,FF,34,00,
32519,00000418,false,Rx,0,8,FC,02,50,FE,8F,FF,35,00,
32524,00000418,false,Rx,0,8,EF,02,4F,FE,9B,FF,2A,00,
32538,00000418,false,Rx,0,8,D5,02,66,FE,91,FF,1C,00,
32544,00000418,false,Rx,0,8,E0,02,6F,FE,95,FF,15,00,
32544,00000418,false,Rx,0,8,E9,02,65,FE,62,FF,17,00,
32548,00000418,false,Rx,0,8,02,03,4E,FE,78,FF,1F,00,
32554,00000418,false,Rx,0,8,00,03,4B,FE,9D,FF,28,00,
32567,00000418,false,Rx,0,8,EB,02,4F,FE,AB,FF,2B,00,
32574,00000418,false,Rx,0,8,D0,02,6A,FE,8F,FF,28,00,
32578,00000418,false,Rx,0,8,D8,02,6C,FE,77,FF,20,00,
32584,00000418,false,Rx,0,8,E8,02,59,FE,62,FF,17,00,
32590,00000418,false,Rx,0,8,FB,02,4A,FE,8E,FF,11,00,
32596,00000418,false,Rx,0,8,F3,02,56,FE,A4,FF,14,00,
32607,00000418,false,Rx,0,8,D6,02,63,FE,92,FF,1E,00,
32615,00000418,false,Rx,0,8,DB,02,6B,FE,72,FF,2B,00,
32618,00000418,false,Rx,0,8,ED,02,63,FE,69,FF,31,00,
32624,00000418,false,Rx,0,8,FB,02,45,FE,8F,FF,2C,00,
32637,00000418,false,Rx,0,8,F4,02,4E,FE,A4,FF,20,00,
32386,00000418,false,Rx,0,8,D7,02,6F,FE,94,FF,15,00,
32391,00000418,false,Rx,0,8,D5,02,69,FE,70,FF,13,00,
32399,00000418,false,Rx,0,8,E9,02,5C,FE,61,FF,1C,00,
32408,00000418,false,Rx,0,8,F6,02,54,FE,98,FF,29,00,
32412,00000418,false,Rx,0,8,EE,02,52,FE,A1,FF,31,00,
32416,00000418,false,Rx,0,8,D9,02,6A,FE,7C,FF,2D,00,
32426,00000418,false,Rx,0,8,E0,02,6F,FE,64,FF,1E,00,
32430,00000418,false,Rx,0,8,F8,02,55,FE,70,FF,10,00,
32440,00000418,false,Rx,0,8,F8,02,4C,FE,9D,FF,0F,00,
32451,00000418,false,Rx,0,8,E7,02,67,FE,AA,FF,1C,00,
